Message,Label,Note
nhà ngập hết pin,Medium,Critical
"nhà có người gà và trẻ em, không thoát dc",Critical,High
"đang trên noc nhà, nhà 5 người k chạy dc",Critical,Medium
có bà bầu và trẻ nhỏ lên cứu với,Critical,Low
"Nhà tôi bị ngập rồi, tôi cần phải di chuyển đến nơi an toàn hơn",High,
Tôi bị mắc kẹt trong nhà,High,
Tôi đang ở trên mái nhà,Critical,
Nhà tôi sắp bị sập,Critical,
"Nước lũ đang dâng cao, tôi không thể ra ngoài",High,
Nhà tôi hết nước sạch rồi,High,
"Nhà tôi bị hư hỏng nặng, tôi cần hỗ trợ",Medium,
"Mất điện rồi, tôi cần đèn pin",Low,
Tôi cần di chuyển đến nơi an toàn,High,
Nước lũ đang đe dọa tính mạng tôi,Critical,
"Tôi cần hỗ trợ y tế, giúp tôi",Medium,
Tôi đang tát nước ra khỏi nhà,Low,
"Tôi bị mắc kẹt trong xe, cứu tôi",Critical,
"Tôi cần hỗ trợ tìm người thân, tôi đã mất liên lạc với họ rồi",Low,
"Tôi cần thức ăn, giúp tôi",High,
"Tôi cần hỗ trợ tâm lý, giúp tôi",Low,
Nhà tôi bị sập rồi,High,
"Tôi cần giúp đỡ, nước lũ đang dâng",Medium,
"Tôi bị cô lập, cần hỗ trợ",High,
"Tôi cần hỗ trợ sửa chữa nhà, giúp tôi với",Low,
"Tôi cần nước uống, giúp tôi",High,
Nước lũ đang tràn vào nhà tôi,Medium,
"Tôi cần hỗ trợ di dời, giúp tôi",High,
"Tôi bị thương nặng, tôi cần cấp cứu",Critical,
"Cứu tôi, tôi đang ở trong nhà tắm",Medium,
"Nhà tôi bị ngập rồi, tôi cằn phải di chuyển đến nơi an toàn hơn",High,
Tôi bị mắt kẹt trong nhà,High,
Tôi đang ỡ trên mái nhà,Critical,
Nhà tôi sấp bị sập,High,
"Nước lũ đang dâng cao, tôi không thể ra ngoài",High,
Nhà tôi hết nước sạch rồii,High,
Nhà tôi bị hư hỏng nặng,High,
"Mất điện rồi, tôi cần đèn bin",Low,
Tôi cần di chuyển đến nơi an toàn,High,
Nước lũ đan đe dọa tính mạng tôi,Critical,
"Tôi cần hỗ trợ y tế, giúp tôi",High,
Tôi đang tác nước ra khỏi nhà,Low,
"Tui bị mắc kẹt trông xe, cứu tôi",High,
"Tôi cần hỗ trợ tìm người thân, tôi đã mất liên lạc với họ rồi",Low,
"Tui cần thức ăn, giúp tôi",High,
"Tôi cần hỗ trợ tâm lý, giúp tôi",Low,
Nhà tôi bị xập rồi,High,
"Tôi cần giúp đỡ, nước lũ đang dân",High,
"Tui bị cô lập, cần hổ trợ",High,
"Tôi cần hỗ trợ sữa chữa nhà, giúp tôi với",Low,
"Tôi cần nước uống, giúp tôi",High,
Nước lũ đang tràn vào nhà tôi,Medium,
"Tôi cần hỗ trợ di chuyển, giúp tôi",Medium,
"Tôi bị thương nặng, tôi cần cấp cứu",Critical,
"Cứu tôi , tôi kẹt  ở trong nhà",High,
Cứu Nước dâng quá nhanh,High,
Chúng tôi bị mắc kẹt trên mái nhà.,High,
Xin hãy gửi thuyền cứu hộ ngay.,Critical,
Cần người đưa chúng tôi ra khỏi đây.,Critical,
Lũ lớn Nhà sắp sập rồi,High,
Trôi dạt Cần phao hoặc dây.,High,
Có người bị thương nặng ở đây.,Critical,
Xin cung cấp vị trí chính xác của tôi.,Low,
Không còn chỗ an toàn. Cứu,Critical,
Sập nhà Cần đội tìm kiếm.,Critical,
"Gia đình 5 người, kẹt tại gác mái",Critical,
 có 3 trẻ em và người già.,High,
Cầu cứu . Không có lối thoát.,Critical,
"Chúng tôi trên cây, gần cột điện",High,
tầng trệt ngập hoàn toàn.,High,
Kẹt ở đồi. Hết thức ăn.,High,
 cầu cứu cho 2 người lớn.,High,
Đang ở gần suối. Lực nước chảy xiết.,High,
Đang lạc trong rừng/đất trống cần định vị.,High,
Trẻ sơ sinh cần sữa và tã.,Medium,
"Người già yếu, không thể di chuyển.",High,
"Người bệnh nặng, cần máy thở/oxy.",Critical,
"Vết thương hở, nhiễm trùng, cần y tá.",High,
"Mẹ bầu sắp sinh, cần hỗ trợ.",Critical,
Thuốc huyết áp/tim mạch đã hết.,High,
Có người bị sốt cao và mất nước.,High,
Xin nước sạch và dụng cụ sơ cứu,High,
Cần hỗ trợ tâm lý cho trẻ em.,Low,
Hết sạch nước uống và thức ăn.,Medium,
Xin tiếp tế lương khô và đèn pin.,Medium,
Cần chăn ấm và quần áo khô.,Medium,
"Bị cô lập, hết gas và củi.",High,
Xin thuốc phòng muỗi và chống kiết lị.,Medium,
Cần vật liệu làm sạch nước.,Medium,
"Hết pin điện thoại, cần sạc dự phòng.",Medium,
Xin màng bạt/áo mưa che chắn.,Low,
Cần bộ đàm hoặc thiết bị liên lạc.,Low,
Nước đã ô nhiễm nặng.,Medium,
Xin cứu vật nuôi bị nhốt trên mái.,Low,
"Tài sản chìm hết, cần hỗ trợ tài chính",Low,
Mất hết giấy tờ tùy thân quan trọng.,Low,
Xin giúp di dời tài sản còn lại.,Low,
"Chuồng trại bị cuốn trôi, cứu gia súc.",Low,
Cần bảo vệ chống trộm cắp sau lũ.,Low,
"Thiệt hại quá lớn, cần thống kê.",Low,
Xin giúp làm sạch nhà cửa bùn lầy,Low,
Cần hỗ trợ tái thiết nhà sau lũ.,Low,
Đang cố giữ mái nhà.,Medium,
Cứu Nước dâng Kẹt trên gác mái.,High,
Gửi thuyền Chúng tôi mắc kẹt tại ,High,
"Cần thức ăn, nước uống. Đang ở ",Medium,
Có người bị thương Xin y tế khẩn cấp.,High,
Lũ lớn Cần cứu người già và trẻ em.,High,
Cầu cứu Không có liên lạc. Xin giúp đỡ,Medium,
Chúng tôi ở đây,Low,
"Xin hỗ trợ Nước rút chậm, cần di tản",Medium,
Nguy hiểm Cứu mạng chúng tôi ngay,Critical,
Sống sót nhờ  cần cứu giúp,Medium,
"Nhà tôi bị ngập rồi, tôi cần phải di chuyển đến nơi an toàn",High,
Nhà tui bị ngập r,High,
"Tui bị mắc kẹt, cần cứu hộ gắp",High,
"Nước lũ tràn vào nhà, ",Medium,
"Tui đang ở trên mái nhà, cứu tôi liền đi",High,
"Tui bị cô lập, ko có lương thực j hết",High,
"Nước lũ quá cao, ko thể ra ngoài đc",High,
Tui cần nc sạch,High,
"Nhà tui bị hư hỏng nặng, cần hỗ trợ ",Medium,
"Mất điện rồi, t cần giúp đỡ liền",Medium,
Nước lũ đang đe dọa tính mạng,Critical,
"Nhà tui bj ngập, cần tát nước liền",Low,
Tui bị mắc kẹt trong xe rồi cứu,High,
Cần hỗ trợ tìm người thân mất liên lạc,Low,
"Tui cần thức ăn, giúp tôi",High,
"Nước lũ dâng nhank quá, tui ko thể phản ứng kjpp",Medium,
"Tui cần hỗ trợ tâm lý, giúp tui vớii",Low,
"Nhà tui bị sập, ",High,
"Help, nước lũ đang dâng cao ",Medium,
"T cần hỗ trợ sửa chữa nhà, giúp tuiii",Medium,
"Tui cần nc uống, giúp tui với",High,
"Nước lũ đang tràn vào nhà, cứu tui cứu tui",Medium,
"Tui cần hỗ trợ di dời, giúp tui ",Medium,
"Tui bị thương nặng, cần cấp cứu liền",Critical,
Tôi bị mắc kẹt trông nhà,High,
Tôi đang ở trên mái nhà,Critical,
Nhà sắp bị sập,High,
"Nc lũ đang dâng cao, tôi kh thể ra ngòi",High,
Nhà tui hết nước sạck r,High,
"Nhà mink bị hư hỏng nặng, tôi cần hỗ trợ",Medium,
"Mấc điện rồi, mik cần đèn pin",Low,
Tui cần di chuyển đến nơi an tòn,Medium,
Nc lũ đang đe dọa tín mạng tôi,High,
"Tôi cần hỗ trợ i tée, giúp tôi",Medium,
Tôi đag tát nước ra khỏi nhầ,Medium,
"Tôi bị mắc kẹt trong se, cứu tôi",High,
Tôi cần thứk ăn,Medium,
Nhà t bị sập ròi,High,
"Héppp, nước lũ đang dâng",Medium,
"Tôi cần hỗ trợ sửa chữa nhà, giúp tôi vs",Low,
"Toi cần nước uống, giúp toi",Medium,
Nước lũ đang tràn vào nhà tuii,Medium,
"Tôi cần hỗ trợ di dời, giúp tui",High,
"Tôi bị thương nặng, tôi cần cấp cíu",High,
"Cứu tôi, tôi đang ở trong day",High,
Tuk cần có ánh sáng hépp mi,Medium,
Tui bị mắc kẹt trong nhà rùii t cần thoát re qua cửa sổ,Medium,
tui cần giúp đỡ để có nc sạch để uống và sik hoạt,Low,
tui cần giúp đỡ để có chỗ ở tạm thời cho ngưi trẻ,Medium,
tui cần tìm động vật của nhè tuii,Low,
Tui cần giúp đỡ để có nơi an toàng cho người già và trẻ em,Medium,
T cần giúp đỡ để có liên lạc vs ng dân ở địa phương,Low,
Toii cần giúp đỡ để có thức ăn cho người vô gia cw,Low,
tui cần giúp đỡ để có phương tiện di chuyển cho ng khuyết tật,Medium,
tui cần giúp đỡ để có thông tin về tình hình lũ lụt ở khu vựt khác,Low,
tui cần liên lạc với người thân ở nc ngoài,Low,
Tui cần giúp đỡ để có hỗ trợ tâm lý cho ngừi bị ãnh hưởng,Medium,
tui cần có chỗ ở cho độg vật,Low,
Tui cần giúp đỡ để có phương tiện di chuyển cho người già và trẻ elm,Medium,
tui cần giúp đỡ để cs thông tin về tình hình lũ lụt ở khu vực lân cận,Low,
tui cần giúp đỡ để có liên lạc vs cơ quan chức năng ở địa phương,Low,
tui cần giúp đỡ để có hỗ trợ về tài chín cho ng bị ảnh hưởng,Low,
tui cần giúp đỡ để có chỗ ở tạm thời cho người bệnh,Medium,
T cần trợ cấp lương thực,Medium,
"tui bị mắc kẹt trong nhà, cần giúp để thoát ra ngòa",High,
"nước lũ đang tràn vào nhà, cần giúp để bảo vệ tài sảng",Medium,
"tui bị thương, cần giúp đỡ để sơ cứu",Medium,
tui cần có thức ăn ,Medium,
"tui bị mắc kẹt trong xe, tui cần hỗ trợ để thoát ra",Medium,
cần giúp đỡ để sửa chữa nhà,Low,
Tui cần giúp đở để di dời đén nơi an toàn,Medium,
"Nước lũ đang đe dọa tính mạng, cần thoát khỏiii",High,
tui cần giúp đỡ để có thuốc men,Medium,
"tui bị mất giấy tờ quang trọng, cần giúp đỡ để làm lại",Low,
Tui cần giúp đỡ để có chỗ ở tạm thời,Medium,
tui cần giúp đỡ để di dời tài sản cụa t,Low,
Tui cần có thông tin về tình hình lũ lụt ngây bây h,Medium,
nhà tôi sắp sập,Medium,
tôi k còn nước,Medium,
tôi k còn thức ăn,Medium,
tôi cần đồ ăn,Medium,
tôi cần nước  ,Medium,
hãy giúp tôi di chuyển,Low,
nhà có trẻ em nước ngập đến đầu gối,Medium,
nhà có người già cần trợ giúp di dời,Medium,
tôi cần đồ ăn và thức uống,Medium,
tôi cần thuốc kháng sinh,Medium,
tôi cần ánh sáng,Medium,
ở đây mất điện tôi cần đèn pin,Medium,
tôi cần mì tôm,Medium,
ở đây có người đang hấp hối,High,
có người bị chìm,Critical,
cứu với tôi thấy có người bị đuối,Critical,
cần quần áo sạch,Low,
lũ trẻ đang cảm lạnh,Medium,
t cần nước uống,Medium,
t cần thức ăn,Medium,
t cần di chuyển đến nơi khác,Medium,
tôi cần cứu hộ gấp con tôi đang bị sốt,High,
tôi cần liên lạc với người thân,Medium,
tôi đang trên mái nhà,Medium,
t đang trên mái nhà,Medium,
t dg trên mái nhà,Medium,
tôi đang bị lạnh,Medium,
t đang bị lạnh,Medium,
t dg bị lạnh,Medium,
t đang bị sốt,Medium,
tôi đang sốt,Medium,
tôi đang bị sốt,Medium,
t dg bị sốt,Medium,
tôi dg bị sốt,Medium,
ở đây có người già,Medium,
ở đây có người thiệt mạng,High,
ở đây có người chết,High,
ở đây có người qua đời,High,
nước dâng cao quá,Critical,
tôi cần y tá,High,
tôi cần bác sĩ,High,
vết thương tôi đang đau nhức,High,
vợ tôi sắp sinh,High,
tôi bị gãy tay,High,
tôi bị gãy chân,High,
ng nhà tôi bị đột quỵ,High,
tôi bị đau đầu,Medium,
tôi bị tai biến,High,
tôi sắp sinh,High,
vợ t sắp sinh,High,
tôi bị trật tay,High,
tôi bị trật chân,High,
sập chuồn heo,Low,
tôi cần heo của tôi,Low,
học phí của tôi,Low,
két sắt tôi trôi rồi,Low,
nước ngập đến mái nhà,Critical,
nước ngập đến cổ,Critical,
cây đổ vào nhà,Critical,
đang bị mắc kẹt,Critical,
tôi bị mắc kẹt,Critical,
t bị kẹt rồi,Critical,
giúp t thoát ra với t bị kẹt,Critical,
nhà đã bị sập,Critical,
bay mái nhà ,Medium,
mưa chảy từ tầng 2,Medium,
ngập đến tầng 2,Critical,
tôi cần dụng cụ lau dọn,Low,
tôi cần lg thực,Medium,
con tôi đang rét,Medium,
con tôi đang lạnh,Medium,
tôi cần bảo quản thức ăn,Medium,
con tôi bị sốt,Medium,
con tôi bị đói,Medium,
Kẹt trong nhà,High,
Xin cứu gấp,High,
Nước lên nhanh,High,
Cứu với lũ lớn,High,
Điện cắt rồi,Medium,
Có trẻ nhỏ cứu,Medium,
Nguy hiểm quá,High,
Nguy hiểm qus,High,
Nhà ngập rồi cứu,High,
Kẹt cả nhà,Critical,
Nhà ngập rồi cứu,High,
Nc lên nhanh,High,
Lũ bao vây rồi,High,
Điện ngắt rồi,Medium,
Nguy hỉm quá,High,
Lũ mạnh quá,Critical,
Cứu vs lũ lớn,Critical,
Kẹt cả nhà,Critical,
Xin cứu gấp,Critical,
Không liên lạc được,Medium,
Nước dâng nhanh quá,High,
Nhà chìm nước,Critical,
Nhà ngập rồi cứu,Critical,
Nước lên nhank,Critical,
Nhà ngập rồi cíu,Critical,
Điện cắt r cứu,Medium,
Nước vào nhà,Medium,
Ngập tới gối rồi,Medium,
Kẹt trog nhà,High,
Cíu với lũ lớn,High,
Ngập sâu cứu hộ,Critical,
Kẹt lũ cứu gấp,Critical,
Nước lên nhah,High,
Kẹt cả nhè,High,
Khôg liên lạc được,Medium,
Nước dâng nhanh qus,High,
Không thoát được,Critical,
Có trẻ nhỏ cứu với,High,
Ngập đến bụng r,High,
Nước tới cổ r,Critical,
Lũ bao vay r,Critical,
Nhà ngập r cứu,High,
Nước dâng cao,Critical,
Ngập sâu cứu hộ,Critical,
Không thoát được,Critical,
Kẹt lũ cứu gấp,Critical,
Kẹt lũ cíu gấp,Critical,
Điện cắt rồi,Medium,
Điện cắt rồi,Medium,
Nhà ngập rồi cứu,High,
Kẹt lũ cứu gấp,Critical,
Kẹt lũ cứu gấp,Critical,
Nước dâng nhanh quá,Critical,
Kẹt cả nhà,Critical,
Lũ mạnh quá,Critical,
Xin cứu gấp,Critical,
Nguy hiểm quá,Critical,
Ngập sâu cứu hộ,Critical,
Không liên lạc được,Medium,
Nước lên nhanh,Critical,
Nước lên nhanh,Critical,
Nhà chìm nước,Critical,
Kẹt cả nhà,Critical,
Kẹt cả nhà,Critical,
Nguy hiểm quá,Critical,
Cứu với lũ lớn,High,
Nhà chìm nước,Critical,
Nhà ngập rồi cứu,High,
Lũ bao vây rồi,High,
Ngập sâu cứu hộ,Critical,
Lũ bao vây rồi,Critical,
Nguy hiểm quá,Critical,
Nguy hiểm quá,Critical,
Không liên lạc được,Medium,
Ngập tới gối rồi,Medium,
Có trẻ nhỏ cứu,High,
Nước lên nhanh,High,
Lũ bao vây rồi,Critical,
Kẹt cả nhà,Critical,
Nước vào nhà,Critical,
Cứu với lũ lớn,Critical,
Xin cứu gấp,Critical,
Kẹt lũ cứu gấp,Critical,
Nguy hiểm quá,Critical,
Lũ bao vây rồi,Critical,
Lũ bao vây rồi,Critical,
Không liên lạc được,Medium,
Lũ mạnh quá,High,
Nước lên nhanh,High,
Điện cắt rồi,Medium,
Ngập sâu cứu hộ,High,
Có người già kẹt,Critical,
Cứu với lũ lớn,High,
Xin cứu gấp,Critical,
Kẹt cả nhà,Critical,
Điện cắt rồi,Medium,
Lũ bao vây rồi,Critical,
Không liên lạc được,Medium,
Có trẻ nhỏ cứu,High,
Điện cắt rồi,Medium,
Nước lên nhanh,High,
Nước vào nhà,High,
Xin cứu gấp,Critical,
Lũ bao vây rồi,Critical,
Nhà chìm nước,Critical,
Ngập tới gối rồi,Medium,
Nước lên nhanh,High,
Kẹt cả nhà,Critical,
Lũ mạnh quá,High,
Nhà ngập rồi cứu,Critical,
Có người già kẹt,Critical,
Ngập tới gối rồi,Medium,
Nhà ngập rồi cứu,High,
Nước dâng nhanh quá,High,
Điện cắt rồi,Medium,
Kẹt lũ cứu gấp,Critical,
Kẹt cả nhà,Critical,
Nhà chìm nước,Critical,
Điện cắt rồi,Medium,
Nước vào nhà,High,
Kẹt trong nhà,High,
Cứu với lũ lớn,High,
Ngập tới gối rồi,Medium,
Điện cắt rồi,Medium,
Nguy hiểm quá,Critical,
Kẹt cả nhà,High,
Nguy hiểm quá,Critical,
Không liên lạc được,Medium,
Ngập tới gối rồi,Medium,
Nhà ngập rồi cứu,High,
Không liên lạc được,Medium,
Xin cứu gấp,Critical,
Kẹt lũ cứu gấp,Critical,
Điện cắt rồi,Medium,
Không thoát được,High,
Kẹt lũ cứu gấp,Critical,
Nước lên nhanh,High,
Không thoát được,High,
Nước lên nhanh,High,
Ngập sâu cứu hộ,Critical,
Ngập tới gối rồi,Medium,
Nước dâng nhanh quá,High,
Nước vào nhà,High,
Ngập sâu cứu hộ,Critical,
Ngập sâu cứu hộ,Critical,
Nhà chìm nước,Critical,
Nhà chìm nước,Critical,
Kẹt cả nhà,Critical,
Có trẻ nhỏ cứu,High,
Nước dâng nhanh quá,High,
Lũ mạnh quá,High,
Nhà ngập rồi cứu,High,
Có trẻ nhỏ cứu,High,
Kẹt cả nhà,Critical,
Không thoát được,High,
Nước dâng nhanh quá,High,
Cứu với lũ lớn,High,
Không liên lạc được,Medium,
Điện cắt rồi,Medium,
Nước lên nhanh,High,
Xin cứu gấp,Critical,
Xin cứu gấp,Critical,
Nước lên nhanh,High,
Không thoát được,High,
Lũ mạnh quá,High,
Kẹt cả nhà,Critical,
Có trẻ nhỏ cứu,High,
Không thoát được,High,
Nước lên nhanh,High,
Không liên lạc được,Medium,
Nguy hiểm quá,Critical,
Xin cứu gấp,Critical,
Kẹt lũ cứu gấp,Critical,
Kẹt cả nhà,Critical,
Kẹt lũ cứu gấp,Critical,
Kẹt cả nhà,Critical,
Xin cứu gấp,Critical,
Kẹt lũ cứu gấp,Critical,
Nguy hiểm quá,Critical,
Nhà ngập rồi cứu,Critical,
Nguy hiểm quá,Critical,
Có trẻ nhỏ cứu,High,
Nước lên nhanh,High,
Nước vào nhà,High,
Nguy hiểm quá,Critical,
Ngập sâu cứu hộ,Critical,
Có người già kẹt,Critical,
Lũ bao vây rồi,High,
Kẹt lũ cứu gấp,Critical,
Lũ bao vây rồi,High,
Nguy hiểm quá,Critical,
Nhà chìm nước,Critical,
Nhà ngập rồi cứu,Critical,
Kẹt lũ cứu gấp,Critical,
Không liên lạc được,Medium,
Kẹt lũ cứu gấp,Critical,
Kẹt trong nhà,High,
Nguy hiểm quá,Critical,
Nhà chìm nước,Critical,
Ngập sâu cứu hộ,Critical,
Lũ bao vây rồi,High,
Nước vào nhà,High,
Có người già kẹt,Critical,
Kẹt lũ cứu gấp,Critical,
Kẹt cả nhà,Critical,
Ngập sâu cứu hộ,Critical,
Điện cắt rồi,Medium,
Xin cứu gấp,Critical,
Lũ mạnh quá,High,
Điện cắt rồi,Medium,
Có trẻ nhỏ cứu,High,
Có trẻ nhỏ cứu,High,
Lũ bao vây rồi,High,
Kẹt lũ cứu gấp,Critical,
Ngập sâu cứu hộ,Critical,
Nước lên nhanh,High,
Nhà ngập rồi cứu,Critical,
Lũ mạnh quá,High,
Kẹt lũ cứu gấp,Critical,
Kẹt cả nhà,Critical,
Không liên lạc được,Medium,
Nước vào nhà,High,
Không thoát được,Critical,
Nhà ngập rồi cứu,Critical,
Không liên lạc được,Medium,
Xin cứu gấp,Critical,
Không thoát được,Critical,
Không thoát được,Critical,
Có người già kẹt,Critical,
Không thoát được,Critical,
Nguy hiểm quá,Critical,
Nước dâng nhanh quá,High,
Lũ bao vây rồi,High,
Không thoát được,High,
Nước dâng nhanh quá,High,
Ngập tới gối rồi,Medium,
Ngập sâu cứu hộ,Critical,
Kẹt cả nhà,Critical,
Không thoát được,Critical,
Nước lên nhanh,High,
Ngập tới gối rồi,Medium,
Kẹt lũ cứu gấp,Critical,
Có trẻ nhỏ cứu,High,
Lũ bao vây rồi,High,
Nước dâng nhanh quá,High,
Có người già kẹt,Critical,
Không thoát được,Critical,
Kẹt cả nhà,Critical,
Nước dâng nhanh quá,High,
Xin cứu gấp,Critical,
Lũ mạnh quá,High,
Không thoát được,Critical,
Không liên lạc được,Medium,
Không thoát được,Critical,
Ngập tới gối rồi,Medium,
Không liên lạc được,Medium,
Nguy hiểm quá,Critical,
Không liên lạc được,Medium,
Lũ mạnh quá,High,
Không thoát được,Critical,
Lũ bao vây rồi,High,
Có người già kẹt,Critical,
Kẹt cả nhà,Critical,
Ngập sâu cứu hộ,Critical,
Kẹt trong nhà,High,
Nguy hiểm quá,Critical,
Cứu với lũ lớn,High,
Nước dâng nhanh quá,High,
Kẹt cả nhà,Critical,
Xin cứu gấp,Critical,
Có người già kẹt,Critical,
Lũ bao vây rồi,High,
Nước vào nhà,High,
Lũ bao vây rồi,High,
Có người già kẹt,Critical,
Kẹt trong nhà,High,
Có người già kẹt,Critical,
Nhà ngập rồi cứu,Critical,
Nguy hiểm quá,Critical,
Nhà chìm nước,Critical,
Điện cắt rồi,Medium,
Lũ mạnh quá,High,
Lũ mạnh quá,High,
Ngập sâu cứu hộ,Critical,
Cứu với lũ lớn,High,
Kẹt trong nhà,High,
Nước dâng nhanh quá,High,
Kẹt trong nhà,High,
Ngập sâu cứu hộ,Critical,
Lũ bao vây rồi,High,
Không liên lạc được,Medium,
Ngập sâu cứu hộ,Critical,
