Message,Label
Nước dâng nhanh quá,Critical
Lũ bao vây rồi,Critical
Kẹt trong nhà,Critical
Nước dâng nhanh quá,Critical
Kẹt lũ cứu gấp,Critical
Nước dâng nhanh quá,Critical
Ngập sâu cứu hộ,Critical
Kẹt cả nhà,Critical
Nguy hiểm quá,Critical
Nhà chìm nước,Critical
Lũ mạnh quá,Critical
Không liên lạc được,Medium
Ngập tới gối rồi,Critical
Không thoát được,Critical
Kẹt trong nhà,Critical
Nhà ngập rồi cứu,Critical
Nguy hiểm quá,Critical
Kẹt trong nhà,Critical
Nhà ngập rồi cứu,Critical
Nguy hiểm quá,Critical
Kẹt cả nhà,Critical
Không thoát được,Critical
Kẹt cả nhà,Critical
Điện cắt rồi,Medium
Nước dâng nhanh quá,Critical
Nguy hiểm quá,Critical
Kẹt cả nhà,Critical
Có trẻ nhỏ cứu,Critical
Không liên lạc được,Medium
Điện cắt rồi,Medium
Kẹt cả nhà,Critical
Nước vào nhà,Low
Kẹt cả nhà,Critical
Nhà chìm nước,Critical
Ngập sâu cứu hộ,Critical
Nhà ngập rồi cứu,Critical
Không thoát được,Critical
Nguy hiểm quá,Critical
Nguy hiểm quá,Critical
Không thoát được,Critical
Kẹt trong nhà,Critical
Nhà chìm nước,Critical
Nước lên nhanh,Low
Ngập sâu cứu hộ,Critical
Nước dâng nhanh quá,Critical
Nước lên nhanh,Low
Không liên lạc được,Medium
Lũ mạnh quá,Critical
Xin cứu gấp,Critical
Xin cứu gấp,Critical
Ngập sâu cứu hộ,Critical
Nước vào nhà,Low
Không thoát được,Critical
Ngập sâu cứu hộ,Critical
Không liên lạc được,Medium
Nước dâng nhanh quá,Critical
Nước lên nhanh,Low
Không thoát được,Critical
Kẹt cả nhà,Critical
Nước lên nhanh,Low
Nước lên nhanh,Low
Nước lên nhanh,Low
Ngập sâu cứu hộ,Critical
Kẹt lũ cứu gấp,Critical
Cứu với lũ lớn,Critical
Nhà ngập rồi cứu,Critical
Điện cắt rồi,Medium
Lũ mạnh quá,Critical
Nước lên nhanh,Low
Nước vào nhà,Low
Có người già kẹt,Critical
Kẹt lũ cứu gấp,Critical
Không liên lạc được,Medium
Nước dâng nhanh quá,Critical
Kẹt trong nhà,Critical
Lũ bao vây rồi,Critical
Kẹt lũ cứu gấp,Critical
Có người già kẹt,Critical
Nhà ngập rồi cứu,Critical
Ngập tới gối rồi,Critical
Kẹt lũ cứu gấp,Critical
Nhà chìm nước,Critical
Nhà chìm nước,Critical
Lũ bao vây rồi,Critical
Cứu với lũ lớn,Critical
Không liên lạc được,Medium
Ngập sâu cứu hộ,Critical
Nước dâng nhanh quá,Critical
Kẹt lũ cứu gấp,Critical
Cứu với lũ lớn,Critical
Nước dâng nhanh quá,Critical
Lũ bao vây rồi,Critical
Có trẻ nhỏ cứu,Critical
Không thoát được,Critical
Kẹt trong nhà,Critical
Ngập tới gối rồi,Critical
Lũ mạnh quá,Critical
Không liên lạc được,Medium
Có người già kẹt,Critical
Xin cứu gấp,Critical
Điện cắt rồi,Medium
Kẹt trong nhà,Critical
Kẹt cả nhà,Critical
Có người già kẹt,Critical
Cứu với lũ lớn,Critical
Nguy hiểm quá,Critical
Nước vào nhà,Low
Kẹt trong nhà,Critical
Nước lên nhanh,Low
Kẹt trong nhà,Critical
Không thoát được,Critical
Điện cắt rồi,Medium
Kẹt trong nhà,Critical
Nguy hiểm quá,Critical
Lũ mạnh quá,Critical
Nhà ngập rồi cứu,Critical
Kẹt cả nhà,Critical
Kẹt cả nhà,Critical
Kẹt lũ cứu gấp,Critical
Nước lên nhanh,Low
Nước dâng nhanh quá,Critical
Không thoát được,Critical
Có người già kẹt,Critical
Nhà ngập rồi cứu,Critical
Lũ bao vây rồi,Critical
Xin cứu gấp,Critical
Nguy hiểm quá,Critical
Lũ bao vây rồi,Critical
Không liên lạc được,Medium
Có trẻ nhỏ cứu,Critical
Nước lên nhanh,Low
Lũ mạnh quá,Critical
Cứu với lũ lớn,Critical
Ngập tới gối rồi,Critical
Cứu với lũ lớn,Critical
Kẹt trong nhà,Critical
Kẹt cả nhà,Critical
Kẹt trong nhà,Critical
Kẹt trong nhà,Critical
Có người già kẹt,Critical
Kẹt trong nhà,Critical
Kẹt cả nhà,Critical
Cứu với lũ lớn,Critical
Có người già kẹt,Critical
Nước lên nhanh,Low
Kẹt cả nhà,Critical
Nước lên nhanh,Low
Nước dâng nhanh quá,Critical
Không thoát được,Critical
Cứu với lũ lớn,Critical
Có người già kẹt,Critical
Nước lên nhanh,Low
Không thoát được,Critical
Không liên lạc được,Medium
Có người già kẹt,Critical
Xin cứu gấp,Critical
Lũ bao vây rồi,Critical
Ngập sâu cứu hộ,Critical
Lũ mạnh quá,Critical
Xin cứu gấp,Critical
Lũ mạnh quá,Critical
Nước lên nhanh,Low
Kẹt trong nhà,Critical
Ngập tới gối rồi,Critical
Có người già kẹt,Critical
Xin cứu gấp,Critical
Nhà chìm nước,Critical
Lũ mạnh quá,Critical
Nhà chìm nước,Critical
Lũ bao vây rồi,Critical
Xin cứu gấp,Critical
Ngập sâu cứu hộ,Critical
Có người già kẹt,Critical
Ngập tới gối rồi,Critical
Có trẻ nhỏ cứu,Critical
Lũ bao vây rồi,Critical
Nhà chìm nước,Critical
Kẹt trong nhà,Critical
Có trẻ nhỏ cứu,Critical
Không thoát được,Critical
Ngập sâu cứu hộ,Critical
Ngập sâu cứu hộ,Critical
Nhà chìm nước,Critical
Ngập sâu cứu hộ,Critical
Kẹt trong nhà,Critical
Không thoát được,Critical
Nguy hiểm quá,Critical
Không thoát được,Critical
Kẹt cả nhà,Critical
Nước dâng nhanh quá,Critical
Không thoát được,Critical
Kẹt lũ cứu gấp,Critical
Nguy hiểm quá,Critical
Không liên lạc được,Medium
Ngập sâu cứu hộ,Critical
Nước vào nhà,Low
Điện cắt rồi,Medium
Có trẻ nhỏ cứu,Critical
Kẹt cả nhà,Critical
Không liên lạc được,Medium
Ngập sâu cứu hộ,Critical
Điện cắt rồi,Medium
Ngập tới gối rồi,Critical
Điện cắt rồi,Medium
Không liên lạc được,Medium
Nước lên nhanh,Low
Điện cắt rồi,Medium
Không liên lạc được,Medium
Cứu với lũ lớn,Critical
Cứu với lũ lớn,Critical
Cứu với lũ lớn,Critical
Ngập tới gối rồi,Critical
Kẹt lũ cứu gấp,Critical
Ngập sâu cứu hộ,Critical
Nước lên nhanh,Low
Ngập tới gối rồi,Critical
Điện cắt rồi,Medium
Lũ mạnh quá,Critical
Ngập sâu cứu hộ,Critical
Kẹt cả nhà,Critical
Kẹt trong nhà,Critical
Nguy hiểm quá,Critical
Có người già kẹt,Critical
Lũ mạnh quá,Critical
Có người già kẹt,Critical
Ngập sâu cứu hộ,Critical
Nước vào nhà,Low
Nước vào nhà,Low
Ngập tới gối rồi,Critical
Nhà chìm nước,Critical
Ngập sâu cứu hộ,Critical
Ngập sâu cứu hộ,Critical
Nhà ngập rồi cứu,Critical
Kẹt lũ cứu gấp,Critical
Có trẻ nhỏ cứu,Critical
Nhà chìm nước,Critical
Không thoát được,Critical
Có người già kẹt,Critical
Kẹt trong nhà,Critical
Kẹt cả nhà,Critical
Không liên lạc được,Medium
Nguy hiểm quá,Critical
Điện cắt rồi,Medium
Nhà ngập rồi cứu,Critical
Nước vào nhà,Low
Ngập sâu cứu hộ,Critical
Cứu với lũ lớn,Critical
Có người già kẹt,Critical
Cứu với lũ lớn,Critical
Nhà ngập rồi cứu,Critical
Cứu với lũ lớn,Critical
Cứu với lũ lớn,Critical
Xin cứu gấp,Critical
Kẹt lũ cứu gấp,Critical
Nhà ngập rồi cứu,Critical
Có người già kẹt,Critical
Nước vào nhà,Low
Lũ bao vây rồi,Critical
Ngập sâu cứu hộ,Critical
Nước dâng nhanh quá,Critical
Nước vào nhà,Low
Nguy hiểm quá,Critical
Kẹt lũ cứu gấp,Critical
Có người già kẹt,Critical
Kẹt cả nhà,Critical
Ngập sâu cứu hộ,Critical
Kẹt lũ cứu gấp,Critical
Nhà chìm nước,Critical
Nguy hiểm quá,Critical
Nguy hiểm quá,Critical
Kẹt trong nhà,Critical
Nhà ngập rồi cứu,Critical
Nguy hiểm quá,Critical
Có người già kẹt,Critical
Nhà ngập rồi cứu,Critical
Có trẻ nhỏ cứu,Critical
Kẹt cả nhà,Critical
Có trẻ nhỏ cứu,Critical
Kẹt cả nhà,Critical
Cứu với lũ lớn,Critical
Kẹt trong nhà,Critical
Nước lên nhanh,Low
Có trẻ nhỏ cứu,Critical
Nhà ngập rồi cứu,Critical
Kẹt lũ cứu gấp,Critical
Điện cắt rồi,Medium
Cứu với lũ lớn,Critical
Có trẻ nhỏ cứu,Critical
Kẹt cả nhà,Critical
Ngập tới gối rồi,Critical
Nước lên nhanh,Low
Điện cắt rồi,Medium
Có trẻ nhỏ cứu,Critical
Kẹt lũ cứu gấp,Critical
Kẹt trong nhà,Critical
Điện cắt rồi,Medium
Ngập tới gối rồi,Critical
Nước dâng nhanh quá,Critical
Cứu với lũ lớn,Critical
Ngập sâu cứu hộ,Critical
Kẹt lũ cứu gấp,Critical
Có trẻ nhỏ cứu,Critical
Ngập tới gối rồi,Critical
Lũ bao vây rồi,Critical
Điện cắt rồi,Medium
Không thoát được,Critical
Kẹt trong nhà,Critical
Nước vào nhà,Low
Kẹt trong nhà,Critical
Nguy hiểm quá,Critical
Lũ mạnh quá,Critical
Nhà chìm nước,Critical
Nhà chìm nước,Critical
Nước dâng nhanh quá,Critical
Không liên lạc được,Medium
Nước lên nhanh,Low
Kẹt lũ cứu gấp,Critical
Nhà ngập rồi cứu,Critical
Điện cắt rồi,Medium
Lũ bao vây rồi,Critical
Cứu với lũ lớn,Critical
Xin cứu gấp,Critical
Ngập tới gối rồi,Critical
Ngập sâu cứu hộ,Critical
Nước lên nhanh,Low
Nhà chìm nước,Critical
Nhà chìm nước,Critical
Không thoát được,Critical
Không liên lạc được,Medium
Ngập tới gối rồi,Critical
Lũ bao vây rồi,Critical
Lũ bao vây rồi,Critical
Kẹt trong nhà,Critical
Nước vào nhà,Low
Nhà chìm nước,Critical
Nước vào nhà,Low
Nguy hiểm quá,Critical
Có trẻ nhỏ cứu,Critical
Lũ mạnh quá,Critical
Cứu với lũ lớn,Critical
Kẹt cả nhà,Critical
Ngập sâu cứu hộ,Critical
Kẹt cả nhà,Critical
Nhà chìm nước,Critical
Có trẻ nhỏ cứu,Critical
Nước lên nhanh,Low
Lũ bao vây rồi,Critical
Lũ mạnh quá,Critical
Điện cắt rồi,Medium
Nguy hiểm quá,Critical
Có trẻ nhỏ cứu,Critical
Có người già kẹt,Critical
Ngập tới gối rồi,Critical
Nhà chìm nước,Critical
Có người già kẹt,Critical
Có trẻ nhỏ cứu,Critical
Không thoát được,Critical
Có trẻ nhỏ cứu,Critical
Không liên lạc được,Medium
Không liên lạc được,Medium
Ngập sâu cứu hộ,Critical
Nhà chìm nước,Critical
Nước lên nhanh,Low
Nhà ngập rồi cứu,Critical
Nhà ngập rồi cứu,Critical
Nhà ngập rồi cứu,Critical
Nguy hiểm quá,Critical
Xin cứu gấp,Critical
Lũ mạnh quá,Critical
Không liên lạc được,Medium
Điện cắt rồi,Medium
Nước vào nhà,Low
Điện cắt rồi,Medium
Kẹt cả nhà,Critical
Điện cắt rồi,Medium
Xin cứu gấp,Critical
Nước lên nhanh,Low
Nhà chìm nước,Critical
Không liên lạc được,Medium
Không liên lạc được,Medium
Có trẻ nhỏ cứu,Critical
Nước dâng nhanh quá,Critical
Nước lên nhanh,Low
Có người già kẹt,Critical
Cứu với lũ lớn,Critical
Nước dâng nhanh quá,Critical
Có trẻ nhỏ cứu,Critical
Nhà ngập rồi cứu,Critical
Ngập tới gối rồi,Critical
Điện cắt rồi,Medium
Nhà chìm nước,Critical
Nhà ngập rồi cứu,Critical
Cứu với lũ lớn,Critical
Xin cứu gấp,Critical
Có người già kẹt,Critical
Không liên lạc được,Medium
Nguy hiểm quá,Critical
Có trẻ nhỏ cứu,Critical
Nguy hiểm quá,Critical
Có trẻ nhỏ cứu,Critical
Có trẻ nhỏ cứu,Critical
Nước lên nhanh,Low
Lũ bao vây rồi,Critical
Không thoát được,Critical
Kẹt lũ cứu gấp,Critical
Cứu với lũ lớn,Critical
Kẹt trong nhà,Critical
Kẹt trong nhà,Critical
Ngập tới gối rồi,Critical
Nước dâng nhanh quá,Critical
Xin cứu gấp,Critical
Không thoát được,Critical
Lũ bao vây rồi,Critical
Không liên lạc được,Medium
Điện cắt rồi,Medium
Nhà ngập rồi cứu,Critical
Kẹt lũ cứu gấp,Critical
Lũ bao vây rồi,Critical
Nước dâng nhanh quá,Critical
Nước lên nhanh,Low
Xin cứu gấp,Critical
Có trẻ nhỏ cứu,Critical
Kẹt trong nhà,Critical
Lũ mạnh quá,Critical
Kẹt lũ cứu gấp,Critical
Xin cứu gấp,Critical
Xin cứu gấp,Critical
Kẹt cả nhà,Critical
Xin cứu gấp,Critical
Nhà chìm nước,Critical
Kẹt lũ cứu gấp,Critical
Lũ bao vây rồi,Critical
Nguy hiểm quá,Critical
Kẹt lũ cứu gấp,Critical
Nguy hiểm quá,Critical
Nước lên nhanh,Low
Nhà chìm nước,Critical
Lũ bao vây rồi,Critical
Nước vào nhà,Low
Có trẻ nhỏ cứu,Critical
Ngập tới gối rồi,Critical
Lũ mạnh quá,Critical
Cứu với lũ lớn,Critical
Không liên lạc được,Medium
Xin cứu gấp,Critical
Cứu với lũ lớn,Critical
Nhà chìm nước,Critical
Nguy hiểm quá,Critical
Không thoát được,Critical
Lũ mạnh quá,Critical
Kẹt lũ cứu gấp,Critical
Không liên lạc được,Medium
Ngập sâu cứu hộ,Critical
Kẹt cả nhà,Critical
Cứu với lũ lớn,Critical
Nguy hiểm quá,Critical
Không thoát được,Critical
Có trẻ nhỏ cứu,Critical
Kẹt lũ cứu gấp,Critical
Xin cứu gấp,Critical
Nước vào nhà,Low
Không thoát được,Critical
Nhà chìm nước,Critical
Không thoát được,Critical
Không liên lạc được,Medium
Kẹt cả nhà,Critical
Có người già kẹt,Critical
Không liên lạc được,Medium
Có trẻ nhỏ cứu,Critical
Nước vào nhà,Low
Có trẻ nhỏ cứu,Critical
Xin cứu gấp,Critical
Xin cứu gấp,Critical
Ngập sâu cứu hộ,Critical
Cứu với lũ lớn,Critical
Cứu với lũ lớn,Critical
Điện cắt rồi,Medium
Kẹt trong nhà,Critical
Lũ mạnh quá,Critical
Không liên lạc được,Medium
Nước dâng nhanh quá,Critical
Nước vào nhà,Low
Nguy hiểm quá,Critical
Nhà chìm nước,Critical
Có trẻ nhỏ cứu,Critical
Nước vào nhà,Low
Có người già kẹt,Critical
Nhà chìm nước,Critical
Lũ bao vây rồi,Critical
Nhà chìm nước,Critical
Nước vào nhà,Low
Ngập sâu cứu hộ,Critical
Kẹt cả nhà,Critical
Không thoát được,Critical
Có người già kẹt,Critical
Có người già kẹt,Critical
Ngập tới gối rồi,Critical
Kẹt lũ cứu gấp,Critical
Ngập tới gối rồi,Critical
Có người già kẹt,Critical
Lũ mạnh quá,Critical
Lũ mạnh quá,Critical
Điện cắt rồi,Medium
Không liên lạc được,Medium
Nhà chìm nước,Critical
Cứu với lũ lớn,Critical
Có trẻ nhỏ cứu,Critical
Lũ mạnh quá,Critical
Nước lên nhanh,Low
Điện cắt rồi,Medium
Nước vào nhà,Low
Nước vào nhà,Low
Kẹt trong nhà,Critical
Kẹt lũ cứu gấp,Critical
Nước lên nhanh,Low
Điện cắt rồi,Medium
Có trẻ nhỏ cứu,Critical
Kẹt cả nhà,Critical
Xin cứu gấp,Critical
Kẹt trong nhà,Critical
Xin cứu gấp,Critical
Nước lên nhanh,Low
Nước vào nhà,Low
Nhà ngập rồi cứu,Critical
Nhà chìm nước,Critical
Lũ bao vây rồi,Critical
Kẹt trong nhà,Critical
Nước vào nhà,Low
Kẹt cả nhà,Critical
Kẹt cả nhà,Critical
Lũ bao vây rồi,Critical
Nhà ngập rồi cứu,Critical
Kẹt cả nhà,Critical
Lũ bao vây rồi,Critical
Lũ mạnh quá,Critical
Nguy hiểm quá,Critical
Có người già kẹt,Critical
Ngập tới gối rồi,Critical
Nhà ngập rồi cứu,Critical
Có người già kẹt,Critical
Nước vào nhà,Low
Không liên lạc được,Medium
Nhà chìm nước,Critical
Nước lên nhanh,Low
Ngập sâu cứu hộ,Critical
Có người già kẹt,Critical
Ngập tới gối rồi,Critical
Không liên lạc được,Medium
Không thoát được,Critical
Nước dâng nhanh quá,Critical
Không thoát được,Critical
Kẹt lũ cứu gấp,Critical
Lũ bao vây rồi,Critical
Điện cắt rồi,Medium
Kẹt cả nhà,Critical
Điện cắt rồi,Medium
Lũ mạnh quá,Critical
Không thoát được,Critical
Ngập sâu cứu hộ,Critical
Không thoát được,Critical
Kẹt cả nhà,Critical
Kẹt lũ cứu gấp,Critical
Cứu với lũ lớn,Critical
Không liên lạc được,Medium
Nhà ngập rồi cứu,Critical
Kẹt trong nhà,Critical
Có trẻ nhỏ cứu,Critical
Kẹt lũ cứu gấp,Critical
Không thoát được,Critical
Có trẻ nhỏ cứu,Critical
Xin cứu gấp,Critical
Nước lên nhanh,Low
Nước dâng nhanh quá,Critical
Không liên lạc được,Medium
Có người già kẹt,Critical
Có người già kẹt,Critical
Có người già kẹt,Critical
Nước vào nhà,Low
Không thoát được,Critical
Kẹt trong nhà,Critical
Cứu với lũ lớn,Critical
Kẹt trong nhà,Critical
Ngập sâu cứu hộ,Critical
Kẹt lũ cứu gấp,Critical
Điện cắt rồi,Medium
Nước dâng nhanh quá,Critical
Ngập tới gối rồi,Critical
Nước dâng nhanh quá,Critical
Lũ bao vây rồi,Critical
Ngập sâu cứu hộ,Critical
Nước lên nhanh,Low
Nguy hiểm quá,Critical
Lũ mạnh quá,Critical
Xin cứu gấp,Critical
Nước vào nhà,Low
Nhà chìm nước,Critical
Kẹt lũ cứu gấp,Critical
Nước dâng nhanh quá,Critical
Có trẻ nhỏ cứu,Critical
Kẹt cả nhà,Critical
Kẹt cả nhà,Critical
Nước vào nhà,Low
Nhà ngập rồi cứu,Critical
Điện cắt rồi,Medium
Kẹt cả nhà,Critical
Ngập sâu cứu hộ,Critical
Xin cứu gấp,Critical
Có người già kẹt,Critical
Kẹt cả nhà,Critical
Ngập sâu cứu hộ,Critical
Ngập sâu cứu hộ,Critical
Nhà chìm nước,Critical
Ngập tới gối rồi,Critical
Nhà ngập rồi cứu,Critical
Nước vào nhà,Low
Kẹt lũ cứu gấp,Critical
Không liên lạc được,Medium
Xin cứu gấp,Critical
Nước vào nhà,Low
Điện cắt rồi,Medium
Cứu với lũ lớn,Critical
Nhà chìm nước,Critical
Kẹt lũ cứu gấp,Critical
Nguy hiểm quá,Critical
Điện cắt rồi,Medium
Kẹt lũ cứu gấp,Critical
Ngập sâu cứu hộ,Critical
Nguy hiểm quá,Critical
Ngập tới gối rồi,Critical
Nước lên nhanh,Low
Xin cứu gấp,Critical
Ngập sâu cứu hộ,Critical
Nước lên nhanh,Low
Điện cắt rồi,Medium
Nước dâng nhanh quá,Critical
Điện cắt rồi,Medium
Điện cắt rồi,Medium
Ngập tới gối rồi,Critical
Xin cứu gấp,Critical
Kẹt trong nhà,Critical
Nhà ngập rồi cứu,Critical
Xin cứu gấp,Critical
Không liên lạc được,Medium
Không liên lạc được,Medium
Cứu với lũ lớn,Critical
Nước lên nhanh,Low
Ngập sâu cứu hộ,Critical
Nhà chìm nước,Critical
Nước lên nhanh,Low
Không liên lạc được,Medium
Kẹt trong nhà,Critical
Không thoát được,Critical
Kẹt lũ cứu gấp,Critical
Nước dâng nhanh quá,Critical
Ngập tới gối rồi,Critical
Cứu với lũ lớn,Critical
Nhà chìm nước,Critical
Không thoát được,Critical
Không liên lạc được,Medium
Điện cắt rồi,Medium
Nhà ngập rồi cứu,Critical
Lũ bao vây rồi,Critical
Ngập sâu cứu hộ,Critical
Không thoát được,Critical
Nước lên nhanh,Low
Có người già kẹt,Critical
Điện cắt rồi,Medium
Lũ bao vây rồi,Critical
Ngập tới gối rồi,Critical
Nguy hiểm quá,Critical
Lũ bao vây rồi,Critical
Không liên lạc được,Medium
Nước dâng nhanh quá,Critical
Nhà ngập rồi cứu,Critical
Không thoát được,Critical
Nước vào nhà,Low
Nước vào nhà,Low
Nước lên nhanh,Low
Kẹt lũ cứu gấp,Critical
Điện cắt rồi,Medium
Lũ bao vây rồi,Critical
Không liên lạc được,Medium
Không thoát được,Critical
Nước dâng nhanh quá,Critical
Điện cắt rồi,Medium
Ngập tới gối rồi,Critical
Có người già kẹt,Critical
Điện cắt rồi,Medium
Nước vào nhà,Low
Không liên lạc được,Medium
Cứu với lũ lớn,Critical
Ngập tới gối rồi,Critical
Ngập tới gối rồi,Critical
Kẹt lũ cứu gấp,Critical
Nhà ngập rồi cứu,Critical
Nước vào nhà,Low
Lũ bao vây rồi,Critical
Kẹt trong nhà,Critical
Nước vào nhà,Low
Nước vào nhà,Low
Nước vào nhà,Low
Ngập tới gối rồi,Critical
Cứu với lũ lớn,Critical
Lũ mạnh quá,Critical
Xin cứu gấp,Critical
Xin cứu gấp,Critical
Có trẻ nhỏ cứu,Critical
Không liên lạc được,Medium
Nguy hiểm quá,Critical
Ngập sâu cứu hộ,Critical
Không thoát được,Critical
Không thoát được,Critical
Có trẻ nhỏ cứu,Critical
Nhà chìm nước,Critical
Kẹt cả nhà,Critical
Nước vào nhà,Low
Nước vào nhà,Low
Kẹt cả nhà,Critical
Không liên lạc được,Medium
Có trẻ nhỏ cứu,Critical
Nhà ngập rồi cứu,Critical
Nhà ngập rồi cứu,Critical
Có trẻ nhỏ cứu,Critical
Không liên lạc được,Medium
Có trẻ nhỏ cứu,Critical
Không liên lạc được,Medium
Kẹt trong nhà,Critical
Kẹt trong nhà,Critical
Không liên lạc được,Medium
Nước vào nhà,Low
Kẹt trong nhà,Critical
Không thoát được,Critical
Lũ mạnh quá,Critical
Nước lên nhanh,Low
Ngập sâu cứu hộ,Critical
Lũ mạnh quá,Critical
Nhà ngập rồi cứu,Critical
Lũ bao vây rồi,Critical
Kẹt cả nhà,Critical
Ngập sâu cứu hộ,Critical
Ngập sâu cứu hộ,Critical
Kẹt cả nhà,Critical
Nhà chìm nước,Critical
Nước vào nhà,Low
Lũ mạnh quá,Critical
Nước vào nhà,Low
Nước lên nhanh,Low
Ngập tới gối rồi,Critical
Có trẻ nhỏ cứu,Critical
Điện cắt rồi,Medium
Không liên lạc được,Medium
Có người già kẹt,Critical
Kẹt cả nhà,Critical
Ngập tới gối rồi,Critical
Không liên lạc được,Medium
Có trẻ nhỏ cứu,Critical
Kẹt cả nhà,Critical
Nguy hiểm quá,Critical
Cứu với lũ lớn,Critical
Lũ bao vây rồi,Critical
Ngập sâu cứu hộ,Critical
Kẹt lũ cứu gấp,Critical
Nước dâng nhanh quá,Critical
Kẹt cả nhà,Critical
Ngập sâu cứu hộ,Critical
Kẹt cả nhà,Critical
Ngập sâu cứu hộ,Critical
Ngập sâu cứu hộ,Critical
Nhà chìm nước,Critical
Cứu với lũ lớn,Critical
Nước dâng nhanh quá,Critical
Có trẻ nhỏ cứu,Critical
Nước dâng nhanh quá,Critical
Lũ mạnh quá,Critical
Xin cứu gấp,Critical
Nhà chìm nước,Critical
Nước lên nhanh,Low
Ngập sâu cứu hộ,Critical
Nguy hiểm quá,Critical
Điện cắt rồi,Medium
Cứu với lũ lớn,Critical
Kẹt cả nhà,Critical
Không thoát được,Critical
Lũ bao vây rồi,Critical
Ngập sâu cứu hộ,Critical
Lũ bao vây rồi,Critical
Lũ bao vây rồi,Critical
Nước lên nhanh,Low
Ngập tới gối rồi,Critical
Lũ bao vây rồi,Critical
Điện cắt rồi,Medium
Không liên lạc được,Medium
Xin cứu gấp,Critical
Không thoát được,Critical
Cứu với lũ lớn,Critical
Nhà chìm nước,Critical
Ngập tới gối rồi,Critical
Lũ bao vây rồi,Critical
Nhà chìm nước,Critical
Có người già kẹt,Critical
Nước vào nhà,Low
Điện cắt rồi,Medium
Ngập tới gối rồi,Critical
Kẹt cả nhà,Critical
Cứu với lũ lớn,Critical
Lũ bao vây rồi,Critical
Có người già kẹt,Critical
Điện cắt rồi,Medium
Nước vào nhà,Low
