text,label
"tôi đang ở trên mái nhà, không còn đường thoát",2
"tôi bị kẹt trong nhà, nước dâng tới ngực rồi",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"xoáy nước ngay trước cửa nhà, rất nguy hiểm",2
"cả gia đình đang mắc kẹt trên mái nhà, nước dâng rất nhanh, cứu với",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"xoáy nước ngay trước cửa nhà, rất nguy hiểm",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"nước cuốn mất cầu thang, chúng tôi không thể di chuyển",2
"cả gia đình đang mắc kẹt trên mái nhà, nước dâng rất nhanh, cứu với",2
"nước cuốn mất cầu thang, chúng tôi không thể di chuyển",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"người thân tôi bất tỉnh, cần xe cứu thương gấp",2
"cả gia đình đang mắc kẹt trên mái nhà, nước dâng rất nhanh, cứu với",2
"nước cuốn mất cầu thang, chúng tôi không thể di chuyển",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"xoáy nước ngay trước cửa nhà, rất nguy hiểm",2
"cả gia đình đang mắc kẹt trên mái nhà, nước dâng rất nhanh, cứu với",2
"người thân tôi bất tỉnh, cần xe cứu thương gấp",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"người thân tôi bất tỉnh, cần xe cứu thương gấp",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"có người bị thương nặng, xin cứu hộ khẩn cấp",2
"cả gia đình đang mắc kẹt trên mái nhà, nước dâng rất nhanh, cứu với",2
"có người bị thương nặng, xin cứu hộ khẩn cấp",2
"nước đã ngập hết tầng một, tôi không thể thoát ra ngoài",2
"nước cuốn mất cầu thang, chúng tôi không thể di chuyển",2
"nước đã ngập hết tầng một, tôi không thể thoát ra ngoài",2
"cả gia đình đang mắc kẹt trên mái nhà, nước dâng rất nhanh, cứu với",2
"cả gia đình đang mắc kẹt trên mái nhà, nước dâng rất nhanh, cứu với",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"có người bị thương nặng, xin cứu hộ khẩn cấp",2
"nước đã ngập hết tầng một, tôi không thể thoát ra ngoài",2
"nước cuốn mất cầu thang, chúng tôi không thể di chuyển",2
"nước đã ngập hết tầng một, tôi không thể thoát ra ngoài",2
"tôi bị kẹt trong nhà, nước dâng tới ngực rồi",2
"xoáy nước ngay trước cửa nhà, rất nguy hiểm",2
"cả gia đình đang mắc kẹt trên mái nhà, nước dâng rất nhanh, cứu với",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"có trẻ em và người già bị mắc kẹt, xin hỗ trợ ngay lập tức",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"tôi bị kẹt trong nhà, nước dâng tới ngực rồi",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"xoáy nước ngay trước cửa nhà, rất nguy hiểm",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"có trẻ em và người già bị mắc kẹt, xin hỗ trợ ngay lập tức",2
"có trẻ em và người già bị mắc kẹt, xin hỗ trợ ngay lập tức",2
"có trẻ em và người già bị mắc kẹt, xin hỗ trợ ngay lập tức",2
"có người bị thương nặng, xin cứu hộ khẩn cấp",2
"xoáy nước ngay trước cửa nhà, rất nguy hiểm",2
"xoáy nước ngay trước cửa nhà, rất nguy hiểm",2
"tôi bị kẹt trong nhà, nước dâng tới ngực rồi",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"tôi bị kẹt trong nhà, nước dâng tới ngực rồi",2
"tôi bị kẹt trong nhà, nước dâng tới ngực rồi",2
"nước đã ngập hết tầng một, tôi không thể thoát ra ngoài",2
"người thân tôi bất tỉnh, cần xe cứu thương gấp",2
"có trẻ em và người già bị mắc kẹt, xin hỗ trợ ngay lập tức",2
"tôi bị kẹt trong nhà, nước dâng tới ngực rồi",2
"tôi bị kẹt trong nhà, nước dâng tới ngực rồi",2
"có người bị thương nặng, xin cứu hộ khẩn cấp",2
"nước đã ngập hết tầng một, tôi không thể thoát ra ngoài",2
"cả gia đình đang mắc kẹt trên mái nhà, nước dâng rất nhanh, cứu với",2
"người thân tôi bất tỉnh, cần xe cứu thương gấp",2
"người thân tôi bất tỉnh, cần xe cứu thương gấp",2
"có người bị thương nặng, xin cứu hộ khẩn cấp",2
"nước đã ngập hết tầng một, tôi không thể thoát ra ngoài",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"nước cuốn mất cầu thang, chúng tôi không thể di chuyển",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"có người bị thương nặng, xin cứu hộ khẩn cấp",2
"tôi bị kẹt trong nhà, nước dâng tới ngực rồi",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"có trẻ em và người già bị mắc kẹt, xin hỗ trợ ngay lập tức",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"người thân tôi bất tỉnh, cần xe cứu thương gấp",2
"cả gia đình đang mắc kẹt trên mái nhà, nước dâng rất nhanh, cứu với",2
"người thân tôi bất tỉnh, cần xe cứu thương gấp",2
"nước đã ngập hết tầng một, tôi không thể thoát ra ngoài",2
"cả gia đình đang mắc kẹt trên mái nhà, nước dâng rất nhanh, cứu với",2
"xoáy nước ngay trước cửa nhà, rất nguy hiểm",2
"tôi bị kẹt trong nhà, nước dâng tới ngực rồi",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"xoáy nước ngay trước cửa nhà, rất nguy hiểm",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"có trẻ em và người già bị mắc kẹt, xin hỗ trợ ngay lập tức",2
"có trẻ em và người già bị mắc kẹt, xin hỗ trợ ngay lập tức",2
"tôi bị kẹt trong nhà, nước dâng tới ngực rồi",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"người thân tôi bất tỉnh, cần xe cứu thương gấp",2
"có trẻ em và người già bị mắc kẹt, xin hỗ trợ ngay lập tức",2
"có người bị thương nặng, xin cứu hộ khẩn cấp",2
"có người bị thương nặng, xin cứu hộ khẩn cấp",2
"nước cuốn mất cầu thang, chúng tôi không thể di chuyển",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"có người bị thương nặng, xin cứu hộ khẩn cấp",2
"có người bị thương nặng, xin cứu hộ khẩn cấp",2
"người thân tôi bất tỉnh, cần xe cứu thương gấp",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"người thân tôi bất tỉnh, cần xe cứu thương gấp",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"có trẻ em và người già bị mắc kẹt, xin hỗ trợ ngay lập tức",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"nước cuốn mất cầu thang, chúng tôi không thể di chuyển",2
"xoáy nước ngay trước cửa nhà, rất nguy hiểm",2
"có người bị thương nặng, xin cứu hộ khẩn cấp",2
"cả gia đình đang mắc kẹt trên mái nhà, nước dâng rất nhanh, cứu với",2
"người thân tôi bất tỉnh, cần xe cứu thương gấp",2
"xoáy nước ngay trước cửa nhà, rất nguy hiểm",2
"tôi bị kẹt trong nhà, nước dâng tới ngực rồi",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"tôi bị kẹt trong nhà, nước dâng tới ngực rồi",2
"xoáy nước ngay trước cửa nhà, rất nguy hiểm",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"nước đã ngập hết tầng một, tôi không thể thoát ra ngoài",2
"xoáy nước ngay trước cửa nhà, rất nguy hiểm",2
"tôi bị kẹt trong nhà, nước dâng tới ngực rồi",2
"cả gia đình đang mắc kẹt trên mái nhà, nước dâng rất nhanh, cứu với",2
"xoáy nước ngay trước cửa nhà, rất nguy hiểm",2
"người thân tôi bất tỉnh, cần xe cứu thương gấp",2
"nước cuốn mất cầu thang, chúng tôi không thể di chuyển",2
"người thân tôi bất tỉnh, cần xe cứu thương gấp",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"người thân tôi bất tỉnh, cần xe cứu thương gấp",2
"có người bị thương nặng, xin cứu hộ khẩn cấp",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"có người bị thương nặng, xin cứu hộ khẩn cấp",2
"nước cuốn mất cầu thang, chúng tôi không thể di chuyển",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"nước đã ngập hết tầng một, tôi không thể thoát ra ngoài",2
"người thân tôi bất tỉnh, cần xe cứu thương gấp",2
"có người bị thương nặng, xin cứu hộ khẩn cấp",2
"nước cuốn mất cầu thang, chúng tôi không thể di chuyển",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"tôi bị kẹt trong nhà, nước dâng tới ngực rồi",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"có trẻ em và người già bị mắc kẹt, xin hỗ trợ ngay lập tức",2
"cả gia đình đang mắc kẹt trên mái nhà, nước dâng rất nhanh, cứu với",2
"nước cuốn mất cầu thang, chúng tôi không thể di chuyển",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"tôi bị kẹt trong nhà, nước dâng tới ngực rồi",2
"xoáy nước ngay trước cửa nhà, rất nguy hiểm",2
"tôi bị kẹt trong nhà, nước dâng tới ngực rồi",2
"nước đã ngập hết tầng một, tôi không thể thoát ra ngoài",2
"có trẻ em và người già bị mắc kẹt, xin hỗ trợ ngay lập tức",2
"người thân tôi bất tỉnh, cần xe cứu thương gấp",2
"người thân tôi bất tỉnh, cần xe cứu thương gấp",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"có trẻ em và người già bị mắc kẹt, xin hỗ trợ ngay lập tức",2
"nước cuốn mất cầu thang, chúng tôi không thể di chuyển",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"tôi bị kẹt trong nhà, nước dâng tới ngực rồi",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"có người bị thương nặng, xin cứu hộ khẩn cấp",2
"tôi bị kẹt trong nhà, nước dâng tới ngực rồi",2
"nước đã ngập hết tầng một, tôi không thể thoát ra ngoài",2
"tôi bị kẹt trong nhà, nước dâng tới ngực rồi",2
"tôi bị kẹt trong nhà, nước dâng tới ngực rồi",2
"cả gia đình đang mắc kẹt trên mái nhà, nước dâng rất nhanh, cứu với",2
"tôi bị kẹt trong nhà, nước dâng tới ngực rồi",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"xoáy nước ngay trước cửa nhà, rất nguy hiểm",2
"nước đã ngập hết tầng một, tôi không thể thoát ra ngoài",2
"cả gia đình đang mắc kẹt trên mái nhà, nước dâng rất nhanh, cứu với",2
"nước đã ngập hết tầng một, tôi không thể thoát ra ngoài",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"nước cuốn mất cầu thang, chúng tôi không thể di chuyển",2
"nước đã ngập hết tầng một, tôi không thể thoát ra ngoài",2
"có người bị thương nặng, xin cứu hộ khẩn cấp",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"nước đã ngập hết tầng một, tôi không thể thoát ra ngoài",2
"nước đã ngập hết tầng một, tôi không thể thoát ra ngoài",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"người thân tôi bất tỉnh, cần xe cứu thương gấp",2
"nước đã ngập hết tầng một, tôi không thể thoát ra ngoài",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"nước cuốn mất cầu thang, chúng tôi không thể di chuyển",2
"nước cuốn mất cầu thang, chúng tôi không thể di chuyển",2
"tôi đang ở trên mái nhà, không còn đường thoát",2
"nước đã ngập hết tầng một, tôi không thể thoát ra ngoài",2
"tôi bị kẹt trong nhà, nước dâng tới ngực rồi",2
"nước cuốn mất cầu thang, chúng tôi không thể di chuyển",2
"xoáy nước ngay trước cửa nhà, rất nguy hiểm",2
"nước cuốn mất cầu thang, chúng tôi không thể di chuyển",2
"nhà tôi sắp bị cuốn trôi, xin cứu gấp",2
"nước ngập tới đầu gối, xin giúp",1
có người lớn tuổi cần hỗ trợ sơ tán,1
gió mạnh làm tốc mái một phần nhà,1
gió mạnh làm tốc mái một phần nhà,1
"nước đang dâng nhanh, cần hỗ trợ di chuyển",1
"xe máy bị nước cuốn, không thể đi lại",1
"khu vực tôi ngập nửa mét rồi, xin cứu hộ",1
"mưa lớn kéo dài, lo ngại sạt lở",1
"nước đang dâng nhanh, cần hỗ trợ di chuyển",1
"mưa lớn kéo dài, lo ngại sạt lở",1
chúng tôi cần lương thực và nước sạch,1
có người lớn tuổi cần hỗ trợ sơ tán,1
"mưa lớn kéo dài, lo ngại sạt lở",1
"nước đang dâng nhanh, cần hỗ trợ di chuyển",1
"khu vực tôi ngập nửa mét rồi, xin cứu hộ",1
chúng tôi cần lương thực và nước sạch,1
"nước đang dâng nhanh, cần hỗ trợ di chuyển",1
"xe máy bị nước cuốn, không thể đi lại",1
có người lớn tuổi cần hỗ trợ sơ tán,1
"nước đang dâng nhanh, cần hỗ trợ di chuyển",1
có người lớn tuổi cần hỗ trợ sơ tán,1
"khu vực tôi ngập nửa mét rồi, xin cứu hộ",1
gió mạnh làm tốc mái một phần nhà,1
chúng tôi cần lương thực và nước sạch,1
"mưa lớn kéo dài, lo ngại sạt lở",1
"khu vực tôi ngập nửa mét rồi, xin cứu hộ",1
"mưa lớn kéo dài, lo ngại sạt lở",1
"điện mất toàn khu, nước vào nhà mạnh",1
gió mạnh làm tốc mái một phần nhà,1
chúng tôi cần lương thực và nước sạch,1
có người lớn tuổi cần hỗ trợ sơ tán,1
chúng tôi cần lương thực và nước sạch,1
chúng tôi cần lương thực và nước sạch,1
"khu vực tôi ngập nửa mét rồi, xin cứu hộ",1
"nước ngập tới đầu gối, xin giúp",1
chúng tôi cần lương thực và nước sạch,1
có người lớn tuổi cần hỗ trợ sơ tán,1
"nước đang dâng nhanh, cần hỗ trợ di chuyển",1
gió mạnh làm tốc mái một phần nhà,1
"mưa lớn kéo dài, lo ngại sạt lở",1
"nước đang dâng nhanh, cần hỗ trợ di chuyển",1
"mưa lớn kéo dài, lo ngại sạt lở",1
"đường bị chia cắt, không thể ra ngoài",1
gió mạnh làm tốc mái một phần nhà,1
"điện mất toàn khu, nước vào nhà mạnh",1
"xe máy bị nước cuốn, không thể đi lại",1
"điện mất toàn khu, nước vào nhà mạnh",1
có người lớn tuổi cần hỗ trợ sơ tán,1
"xe máy bị nước cuốn, không thể đi lại",1
"đường bị chia cắt, không thể ra ngoài",1
"khu vực tôi ngập nửa mét rồi, xin cứu hộ",1
gió mạnh làm tốc mái một phần nhà,1
"đường bị chia cắt, không thể ra ngoài",1
gió mạnh làm tốc mái một phần nhà,1
"khu vực tôi ngập nửa mét rồi, xin cứu hộ",1
"khu vực tôi ngập nửa mét rồi, xin cứu hộ",1
có người lớn tuổi cần hỗ trợ sơ tán,1
"đường bị chia cắt, không thể ra ngoài",1
chúng tôi cần lương thực và nước sạch,1
"nước đang dâng nhanh, cần hỗ trợ di chuyển",1
"điện mất toàn khu, nước vào nhà mạnh",1
có người lớn tuổi cần hỗ trợ sơ tán,1
"nước đang dâng nhanh, cần hỗ trợ di chuyển",1
có người lớn tuổi cần hỗ trợ sơ tán,1
"điện mất toàn khu, nước vào nhà mạnh",1
